n,Omega_2,Omega_3,Omega_5,Omega_7,Omega_9,Omega_11,Omega_total
25084,2,0,0,0,0,0,3
25085,0,0,1,0,0,0,3
25086,1,1,0,0,0,0,4
25087,0,0,0,0,0,0,1
25088,9,0,0,2,0,0,11
25089,0,1,0,0,0,0,2
25090,1,0,1,0,0,0,4
25091,0,0,0,0,0,1,2
25092,2,2,0,0,2,0,6
25093,0,0,0,0,0,0,2
25094,1,0,0,0,0,0,2
25095,0,1,1,1,0,0,4
25096,3,0,0,0,0,0,4
25097,0,0,0,0,0,0,1
25098,1,1,0,0,0,0,4
25099,0,0,0,0,0,0,2
25100,2,0,2,0,0,0,5
25101,0,2,0,0,2,0,3
25102,1,0,0,1,0,1,4
25103,0,0,0,0,0,0,2
25104,4,1,0,0,0,0,6
25105,0,0,1,0,0,0,2
25106,1,0,0,0,0,0,2
25107,0,1,0,0,0,0,2
25108,2,0,0,0,0,0,3
25109,0,0,0,1,0,0,3
25110,1,4,1,0,4,0,7
25111,0,0,0,0,0,0,1
25112,3,0,0,0,0,0,5
25113,0,1,0,0,0,1,3
25114,1,0,0,0,0,0,3
25115,0,0,1,0,0,0,2
25116,2,1,0,1,0,0,6
25117,0,0,0,0,0,0,1
25118,1,0,0,0,0,0,3
25119,0,2,0,0,2,0,3
25120,5,0,1,0,0,0,7
25121,0,0,0,0,0,0,1
25122,1,1,0,0,0,0,4
25123,0,0,0,1,0,0,3
25124,2,0,0,0,0,1,4
25125,0,1,3,0,0,0,5
25126,1,0,0,0,0,0,3
25127,0,0,0,0,0,0,1
25128,3,2,0,0,2,0,6
25129,0,0,0,0,0,0,2
25130,1,0,1,1,0,0,4
25131,0,1,0,0,0,0,2
25132,2,0,0,0,0,0,4
25133,0,0,0,0,0,0,2
25134,1,1,0,0,0,0,4
25135,0,0,1,0,0,1,3
25136,4,0,0,0,0,0,5
25137,0,3,0,2,2,0,6
25138,1,0,0,0,0,0,2
25139,0,0,0,0,0,0,2
25140,2,1,1,0,0,0,5
25141,0,0,0,0,0,0,2
25142,1,0,0,0,0,0,3
25143,0,1,0,0,0,0,4
25144,3,0,0,1,0,0,5
25145,0,0,1,0,0,0,3
25146,1,2,0,0,2,1,5
25147,0,0,0,0,0,0,1
25148,2,0,0,0,0,0,3
25149,0,1,0,0,0,0,3
25150,1,0,2,0,0,0,4
25151,0,0,0,1,0,0,2
25152,6,1,0,0,0,0,8
25153,0,0,0,0,0,0,1
25154,1,0,0,0,0,0,2
25155,0,2,1,0,2,0,5
25156,2,0,0,0,0,0,4
25157,0,0,0,0,0,1,2
25158,1,1,0,1,0,0,4
25159,0,0,0,0,0,0,2
25160,3,0,1,0,0,0,6
25161,0,1,0,0,0,0,2
25162,1,0,0,0,0,0,3
25163,0,0,0,0,0,0,1
25164,2,3,0,0,2,0,6
25165,0,0,1,1,0,0,3
25166,1,0,0,0,0,0,2
25167,0,1,0,0,0,0,2
25168,4,0,0,0,0,2,7
25169,0,0,0,0,0,0,1
25170,1,1,1,0,0,0,4
25171,0,0,0,0,0,0,1
25172,2,0,0,1,0,0,5
25173,0,2,0,0,2,0,3
25174,1,0,0,0,0,0,3
25175,0,0,2,0,0,0,4
25176,3,1,0,0,0,0,5
25177,0,0,0,0,0,0,2
25178,1,0,0,0,0,0,2
25179,0,1,0,1,0,1,4
25180,2,0,1,0,0,0,4
25181,0,0,0,0,0,0,3
25182,1,2,0,0,2,0,4
25183,0,0,0,0,0,0,1
25184,5,0,0,0,0,0,6
25185,0,1,1,0,0,0,4
25186,1,0,0,2,0,0,4
25187,0,0,0,0,0,0,2
25188,2,1,0,0,0,0,4
25189,0,0,0,0,0,0,1
25190,1,0,1,0,0,1,4
25191,0,4,0,0,4,0,5
25192,3,0,0,0,0,0,5
25193,0,0,0,1,0,0,3
25194,1,1,0,0,0,0,5
25195,0,0,1,0,0,0,2
25196,2,0,0,0,0,0,3
25197,0,1,0,0,0,0,3
25198,1,0,0,0,0,0,3
25199,0,0,0,0,0,0,2
25200,4,2,2,1,2,0,9
25201,0,0,0,0,0,1,3
25202,1,0,0,0,0,0,2
25203,0,1,0,0,0,0,3
25204,2,0,0,0,0,0,3
25205,0,0,1,0,0,0,3
25206,1,1,0,0,0,0,3
25207,0,0,0,1,0,0,3
25208,3,0,0,0,0,0,5
25209,0,2,0,0,2,0,3
25210,1,0,1,0,0,0,3
25211,0,0,0,0,0,0,2
25212,2,1,0,0,0,1,5
25213,0,0,0,0,0,0,2
25214,1,0,0,1,0,0,3
25215,0,1,1,0,0,0,4
25216,7,0,0,0,0,0,8
25217,0,0,0,0,0,0,2
25218,1,3,0,0,2,0,5
25219,0,0,0,0,0,0,1
25220,2,0,1,0,0,0,5
25221,0,1,0,1,0,0,3
25222,1,0,0,0,0,0,2
25223,0,0,0,0,0,1,2
25224,3,1,0,0,0,0,5
25225,0,0,2,0,0,0,3
25226,1,0,0,0,0,0,2
25227,0,2,0,0,2,0,3
25228,2,0,0,1,0,0,5
25229,0,0,0,0,0,0,1
25230,1,1,1,0,0,0,5
25231,0,0,0,0,0,0,2
25232,4,0,0,0,0,0,6
25233,0,1,0,0,0,0,3
25234,1,0,0,0,0,1,4
25235,0,0,1,2,0,0,4
25236,2,2,0,0,2,0,5
25237,0,0,0,0,0,0,1
25238,1,0,0,0,0,0,2
25239,0,1,0,0,0,0,3
25240,3,0,1,0,0,0,5
25241,0,0,0,0,0,0,2
25242,1,1,0,1,0,0,4
25243,0,0,0,0,0,0,1
25244,2,0,0,0,0,0,3
25245,0,3,1,0,2,1,6
25246,1,0,0,0,0,0,3
25247,0,0,0,0,0,0,1
25248,5,1,0,0,0,0,7
25249,0,0,0,1,0,0,2
25250,1,0,3,0,0,0,5
25251,0,1,0,0,0,0,3
25252,2,0,0,0,0,0,4
25253,0,0,0,0,0,0,1
25254,1,2,0,0,2,0,5
25255,0,0,1,0,0,0,2
25256,3,0,0,1,0,1,6
25257,0,1,0,0,0,0,2
25258,1,0,0,0,0,0,3
25259,0,0,0,0,0,0,3
25260,2,1,1,0,0,0,5
25261,0,0,0,0,0,0,1
25262,1,0,0,0,0,0,3
25263,0,2,0,1,2,0,4
25264,4,0,0,0,0,0,5
25265,0,0,1,0,0,0,3
25266,1,1,0,0,0,0,3
25267,0,0,0,0,0,1,2
25268,2,0,0,0,0,0,3
25269,0,1,0,0,0,0,2
25270,1,0,1,1,0,0,5
25271,0,0,0,0,0,0,2
25272,3,5,0,0,4,0,9
25273,0,0,0,0,0,0,2
25274,1,0,0,0,0,0,2
25275,0,1,2,0,0,0,4
25276,2,0,0,0,0,0,4
25277,0,0,0,1,0,0,3
25278,1,1,0,0,0,1,4
25279,0,0,0,0,0,0,2
25280,6,0,1,0,0,0,8
25281,0,2,0,0,2,0,4
25282,1,0,0,0,0,0,2
25283,0,0,0,0,0,0,2
25284,2,1,0,2,0,0,6
25285,0,0,1,0,0,0,3
25286,1,0,0,0,0,0,3
25287,0,1,0,0,0,0,2
25288,3,0,0,0,0,0,5
25289,0,0,0,0,0,3,4
25290,1,2,1,0,2,0,5
25291,0,0,0,1,0,0,2
25292,2,0,0,0,0,0,3
25293,0,1,0,0,0,0,2
25294,1,0,0,0,0,0,2
25295,0,0,1,0,0,0,2
25296,4,1,0,0,0,0,7
25297,0,0,0,0,0,0,2
25298,1,0,0,1,0,0,4
25299,0,3,0,0,2,0,4
25300,2,0,2,0,0,1,6
25301,0,0,0,0,0,0,1
25302,1,1,0,0,0,0,3
25303,0,0,0,0,0,0,1
25304,3,0,0,0,0,0,4
25305,0,1,1,1,0,0,4
25306,1,0,0,0,0,0,2
25307,0,0,0,0,0,0,1
25308,2,2,0,0,2,0,6
25309,0,0,0,0,0,0,1
25310,1,0,1,0,0,0,3
25311,0,1,0,0,0,1,4
25312,5,0,0,1,0,0,7
25313,0,0,0,0,0,0,2
25314,1,1,0,0,0,0,3
25315,0,0,1,0,0,0,3
25316,2,0,0,0,0,0,3
25317,0,2,0,0,2,0,4
25318,1,0,0,0,0,0,2
25319,0,0,0,1,0,0,2
25320,3,1,1,0,0,0,6
25321,0,0,0,0,0,0,1
25322,1,0,0,0,0,1,3
25323,0,1,0,0,0,0,3
25324,2,0,0,0,0,0,4
25325,0,0,2,0,0,0,3
25326,1,3,0,1,2,0,6
25327,0,0,0,0,0,0,3
25328,4,0,0,0,0,0,5
25329,0,1,0,0,0,0,2
25330,1,0,1,0,0,0,4
25331,0,0,0,0,0,0,2
25332,2,1,0,0,0,0,4
25333,0,0,0,2,0,1,4
25334,1,0,0,0,0,0,3
25335,0,2,1,0,2,0,4
25336,3,0,0,0,0,0,4
25337,0,0,0,0,0,0,2
25338,1,1,0,0,0,0,4
25339,0,0,0,0,0,0,1
25340,2,0,1,1,0,0,5
25341,0,1,0,0,0,0,2
25342,1,0,0,0,0,0,2
25343,0,0,0,0,0,0,1
25344,8,2,0,0,2,1,11
25345,0,0,1,0,0,0,3
25346,1,0,0,0,0,0,4
25347,0,1,0,1,0,0,4
25348,2,0,0,0,0,0,3
25349,0,0,0,0,0,0,1
25350,1,1,2,0,0,0,6
25351,0,0,0,0,0,0,2
25352,3,0,0,0,0,0,4
25353,0,4,0,0,4,0,5
25354,1,0,0,1,0,0,3
25355,0,0,1,0,0,1,3
25356,2,1,0,0,0,0,4
25357,0,0,0,0,0,0,1
25358,1,0,0,0,0,0,3
25359,0,1,0,0,0,0,3
25360,4,0,1,0,0,0,6
25361,0,0,0,1,0,0,2
25362,1,2,0,0,2,0,4
25363,0,0,0,0,0,0,2
25364,2,0,0,0,0,0,4
25365,0,1,1,0,0,0,4
25366,1,0,0,0,0,1,3
25367,0,0,0,0,0,0,1
25368,3,1,0,1,0,0,6
25369,0,0,0,0,0,0,2
25370,1,0,1,0,0,0,4
25371,0,2,0,0,2,0,3
25372,2,0,0,0,0,0,3
25373,0,0,0,0,0,0,1
25374,1,1,0,0,0,0,3
25375,0,0,3,1,0,0,5
25376,5,0,0,0,0,0,7
25377,0,1,0,0,0,1,3
25378,1,0,0,0,0,0,2
25379,0,0,0,0,0,0,2
25380,2,3,1,0,2,0,7
25381,0,0,0,0,0,0,2
25382,1,0,0,3,0,0,5
25383,0,1,0,0,0,0,2
25384,3,0,0,0,0,0,5
25385,0,0,1,0,0,0,2
25386,1,1,0,0,0,0,3
25387,0,0,0,0,0,0,2
25388,2,0,0,0,0,1,4
25389,0,2,0,1,2,0,5
25390,1,0,1,0,0,0,3
25391,0,0,0,0,0,0,1
25392,4,1,0,0,0,0,7
25393,0,0,0,0,0,0,2
25394,1,0,0,0,0,0,2
25395,0,1,1,0,0,0,3
25396,2,0,0,1,0,0,4
25397,0,0,0,0,0,0,2
25398,1,2,0,0,2,0,5
25399,0,0,0,0,0,1,2
25400,3,0,2,0,0,0,6
25401,0,1,0,0,0,0,2
25402,1,0,0,0,0,0,3
25403,0,0,0,1,0,0,3
25404,2,1,0,0,0,0,5
25405,0,0,1,0,0,0,2
25406,1,0,0,0,0,0,2
25407,0,3,0,0,2,0,4
25408,6,0,0,0,0,0,7
25409,0,0,0,0,0,0,1
25410,1,1,1,1,0,2,6
25411,0,0,0,0,0,0,1
25412,2,0,0,0,0,0,3
25413,0,1,0,0,0,0,3
25414,1,0,0,0,0,0,3
25415,0,0,1,0,0,0,4
25416,3,2,0,0,2,0,6
25417,0,0,0,1,0,0,2
25418,1,0,0,0,0,0,3
25419,0,1,0,0,0,0,3
25420,2,0,1,0,0,0,5
25421,0,0,0,0,0,1,2
25422,1,1,0,0,0,0,4
25423,0,0,0,0,0,0,1
25424,4,0,0,1,0,0,6
25425,0,2,2,0,2,0,5
25426,1,0,0,0,0,0,2
25427,0,0,0,0,0,0,2
25428,2,1,0,0,0,0,5
25429,0,0,0,0,0,0,2
25430,1,0,1,0,0,0,3
25431,0,1,0,2,0,0,4
25432,3,0,0,0,0,1,6
25433,0,0,0,0,0,0,2
25434,1,4,0,0,4,0,6
25435,0,0,1,0,0,0,2
25436,2,0,0,0,0,0,3
25437,0,1,0,0,0,0,3
25438,1,0,0,1,0,0,4
25439,0,0,0,0,0,0,1
25440,5,1,1,0,0,0,8
25441,0,0,0,0,0,0,3
25442,1,0,0,0,0,0,2
25443,0,2,0,0,2,1,4
25444,2,0,0,0,0,0,3
25445,0,0,1,1,0,0,3
25446,1,1,0,0,0,0,3
25447,0,0,0,0,0,0,1
25448,3,0,0,0,0,0,4
25449,0,1,0,0,0,0,3
25450,1,0,2,0,0,0,4
25451,0,0,0,0,0,0,2
25452,2,2,0,1,2,0,6
25453,0,0,0,0,0,0,1
25454,1,0,0,0,0,1,4
25455,0,1,1,0,0,0,3
25456,4,0,0,0,0,0,6
25457,0,0,0,0,0,0,1
25458,1,1,0,0,0,0,3
25459,0,0,0,1,0,0,2
25460,2,0,1,0,0,0,5
25461,0,3,0,0,2,0,5
25462,1,0,0,0,0,0,3
25463,0,0,0,0,0,0,1
25464,3,1,0,0,0,0,5
25465,0,0,1,0,0,1,3
25466,1,0,0,1,0,0,4
25467,0,1,0,0,0,0,3
25468,2,0,0,0,0,0,3
25469,0,0,0,0,0,0,1
25470,1,2,1,0,2,0,5
25471,0,0,0,0,0,0,1
25472,7,0,0,0,0,0,8
25473,0,1,0,1,0,0,3
25474,1,0,0,0,0,0,3
25475,0,0,2,0,0,0,3
25476,2,1,0,0,0,1,5
25477,0,0,0,0,0,0,2
25478,1,0,0,0,0,0,2
25479,0,2,0,0,2,0,4
25480,3,0,1,2,0,0,7
25481,0,0,0,0,0,0,2
25482,1,1,0,0,0,0,4
25483,0,0,0,0,0,0,2
25484,2,0,0,0,0,0,4
25485,0,1,1,0,0,0,3
25486,1,0,0,0,0,0,2
25487,0,0,0,1,0,1,3
25488,4,3,0,0,2,0,8
25489,0,0,0,0,0,0,2
25490,1,0,1,0,0,0,3
25491,0,1,0,0,0,0,3
25492,2,0,0,0,0,0,3
25493,0,0,0,0,0,0,3
25494,1,1,0,1,0,0,4
25495,0,0,1,0,0,0,2
25496,3,0,0,0,0,0,4
25497,0,2,0,0,2,0,3
25498,1,0,0,0,0,1,4
25499,0,0,0,0,0,0,2
25500,2,1,3,0,0,0,7
25501,0,0,0,1,0,0,2
25502,1,0,0,0,0,0,3
25503,0,1,0,0,0,0,2
25504,5,0,0,0,0,0,6
25505,0,0,1,0,0,0,2
25506,1,2,0,0,2,0,5
25507,0,0,0,0,0,0,2
25508,2,0,0,1,0,0,4
25509,0,1,0,0,0,1,3
25510,1,0,1,0,0,0,3
25511,0,0,0,0,0,0,2
25512,3,1,0,0,0,0,5
25513,0,0,0,0,0,0,2
25514,1,0,0,0,0,0,2
25515,0,6,1,1,6,0,8
25516,2,0,0,0,0,0,3
25517,0,0,0,0,0,0,3
25518,1,1,0,0,0,0,3
25519,0,0,0,0,0,0,3
25520,4,0,1,0,0,1,7
25521,0,1,0,0,0,0,3
25522,1,0,0,1,0,0,3
25523,0,0,0,0,0,0,1
25524,2,2,0,0,2,0,5
25525,0,0,2,0,0,0,3
25526,1,0,0,0,0,0,2
25527,0,1,0,0,0,0,3
25528,3,0,0,0,0,0,4
25529,0,0,0,2,0,0,3
25530,1,1,1,0,0,0,5
25531,0,0,0,0,0,2,3
25532,2,0,0,0,0,0,4
25533,0,2,0,0,2,0,3
25534,1,0,0,0,0,0,3
25535,0,0,1,0,0,0,2
25536,6,1,0,1,0,0,9
25537,0,0,0,0,0,0,1
25538,1,0,0,0,0,0,3
25539,0,1,0,0,0,0,2
25540,2,0,1,0,0,0,4
25541,0,0,0,0,0,0,1
25542,1,3,0,0,2,1,6
25543,0,0,0,1,0,0,3
25544,3,0,0,0,0,0,5
25545,0,1,1,0,0,0,4
25546,1,0,0,0,0,0,3
25547,0,0,0,0,0,0,2
25548,2,1,0,0,0,0,4
25549,0,0,0,0,0,0,2
25550,1,0,2,1,0,0,5
25551,0,2,0,0,2,0,4
25552,4,0,0,0,0,0,5
25553,0,0,0,0,0,1,3
25554,1,1,0,0,0,0,3
25555,0,0,1,0,0,0,3
25556,2,0,0,0,0,0,3
25557,0,1,0,1,0,0,3
25558,1,0,0,0,0,0,3
25559,0,0,0,0,0,0,2
25560,3,2,1,0,2,0,7
25561,0,0,0,0,0,0,1
25562,1,0,0,0,0,0,2
25563,0,1,0,0,0,0,2
25564,2,0,0,1,0,1,5
25565,0,0,1,0,0,0,2
25566,1,1,0,0,0,0,3
25567,0,0,0,0,0,0,2
25568,5,0,0,0,0,0,7
25569,0,3,0,0,2,0,4
25570,1,0,1,0,0,0,3
25571,0,0,0,1,0,0,3
25572,2,1,0,0,0,0,4
25573,0,0,0,0,0,0,2
25574,1,0,0,0,0,0,3
25575,0,1,2,0,0,1,5
25576,3,0,0,0,0,0,5
25577,0,0,0,0,0,0,1
25578,1,2,0,2,2,0,6
25579,0,0,0,0,0,0,1
25580,2,0,1,0,0,0,4
25581,0,1,0,0,0,0,2
25582,1,0,0,0,0,0,2
25583,0,0,0,0,0,0,1
25584,4,1,0,0,0,0,7
25585,0,0,1,1,0,0,4
25586,1,0,0,0,0,1,3
25587,0,2,0,0,2,0,3
25588,2,0,0,0,0,0,3
25589,0,0,0,0,0,0,1
25590,1,1,1,0,0,0,4
25591,0,0,0,0,0,0,2
25592,3,0,0,1,0,0,5
25593,0,1,0,0,0,0,3
25594,1,0,0,0,0,0,3
25595,0,0,1,0,0,0,2
25596,2,4,0,0,4,0,7
25597,0,0,0,0,0,1,3
25598,1,0,0,0,0,0,2
25599,0,1,0,1,0,0,4
25600,10,0,2,0,0,0,12
25601,0,0,0,0,0,0,1
25602,1,1,0,0,0,0,4
25603,0,0,0,0,0,0,1
25604,2,0,0,0,0,0,4
25605,0,2,1,0,2,0,4
25606,1,0,0,1,0,0,4
25607,0,0,0,0,0,0,2
25608,3,1,0,0,0,1,6
25609,0,0,0,0,0,0,1
25610,1,0,1,0,0,0,4
25611,0,1,0,0,0,0,2
25612,2,0,0,0,0,0,4
25613,0,0,0,1,0,0,2
25614,1,2,0,0,2,0,4
25615,0,0,1,0,0,0,3
25616,4,0,0,0,0,0,5
25617,0,1,0,0,0,0,2
25618,1,0,0,0,0,0,2
25619,0,0,0,0,0,1,3
25620,2,1,1,1,0,0,6
25621,0,0,0,0,0,0,1
25622,1,0,0,0,0,0,3
25623,0,3,0,0,2,0,5
25624,3,0,0,0,0,0,4
25625,0,0,4,0,0,0,5
25626,1,1,0,0,0,0,3
25627,0,0,0,2,0,0,3
25628,2,0,0,0,0,0,4
25629,0,1,0,0,0,0,2
25630,1,0,1,0,0,1,4
25631,0,0,0,0,0,0,3
25632,5,2,0,0,2,0,8
25633,0,0,0,0,0,0,1
25634,1,0,0,1,0,0,3
25635,0,1,1,0,0,0,3
25636,2,0,0,0,0,0,5
25637,0,0,0,0,0,0,2
25638,1,1,0,0,0,0,3
25639,0,0,0,0,0,0,1
25640,3,0,1,0,0,0,5
25641,0,2,0,1,2,1,5
25642,1,0,0,0,0,0,2
25643,0,0,0,0,0,0,1
25644,2,1,0,0,0,0,4
25645,0,0,1,0,0,0,3
25646,1,0,0,0,0,0,2
25647,0,1,0,0,0,0,3
25648,4,0,0,1,0,0,6
25649,0,0,0,0,0,0,2
25650,1,3,2,0,2,0,7
25651,0,0,0,0,0,0,2
25652,2,0,0,0,0,2,5
25653,0,1,0,0,0,0,3
25654,1,0,0,0,0,0,3
25655,0,0,1,1,0,0,3
25656,3,1,0,0,0,0,5
25657,0,0,0,0,0,0,1
25658,1,0,0,0,0,0,2
25659,0,2,0,0,2,0,3
25660,2,0,1,0,0,0,4
25661,0,0,0,0,0,0,2
25662,1,1,0,1,0,0,5
25663,0,0,0,0,0,1,2
25664,6,0,0,0,0,0,7
25665,0,1,1,0,0,0,4
25666,1,0,0,0,0,0,3
25667,0,0,0,0,0,0,1
25668,2,2,0,0,2,0,6
25669,0,0,0,1,0,0,3
25670,1,0,1,0,0,0,4
25671,0,1,0,0,0,0,3
25672,3,0,0,0,0,0,4
25673,0,0,0,0,0,0,1
25674,1,1,0,0,0,1,4
25675,0,0,2,0,0,0,4
25676,2,0,0,2,0,0,5
25677,0,4,0,0,4,0,5
25678,1,0,0,0,0,0,3
25679,0,0,0,0,0,0,1
25680,4,1,1,0,0,0,7
25681,0,0,0,0,0,0,2
25682,1,0,0,0,0,0,2
25683,0,1,0,1,0,0,3
25684,2,0,0,0,0,0,3
25685,0,0,1,0,0,1,3
25686,1,2,0,0,2,0,4
25687,0,0,0,0,0,0,2
25688,3,0,0,0,0,0,6
25689,0,1,0,0,0,0,2
25690,1,0,1,1,0,0,4
25691,0,0,0,0,0,0,2
25692,2,1,0,0,0,0,4
25693,0,0,0,0,0,0,1
25694,1,0,0,0,0,0,3
25695,0,2,1,0,2,0,4
25696,5,0,0,0,0,1,7
25697,0,0,0,1,0,0,2
25698,1,1,0,0,0,0,3
25699,0,0,0,0,0,0,2
25700,2,0,2,0,0,0,5
25701,0,1,0,0,0,0,3
25702,1,0,0,0,0,0,3
25703,0,0,0,0,0,0,1
25704,3,3,0,1,2,0,8
25705,0,0,1,0,0,0,3
25706,1,0,0,0,0,0,2
25707,0,1,0,0,0,1,4
25708,2,0,0,0,0,0,3
25709,0,0,0,0,0,0,2
25710,1,1,1,0,0,0,4
25711,0,0,0,1,0,0,2
25712,4,0,0,0,0,0,5
25713,0,2,0,0,2,0,3
25714,1,0,0,0,0,0,4
25715,0,0,1,0,0,0,3
25716,2,1,0,0,0,0,4
25717,0,0,0,0,0,0,1
25718,1,0,0,1,0,1,4
25719,0,1,0,0,0,0,2
25720,3,0,1,0,0,0,5
25721,0,0,0,0,0,0,3
25722,1,2,0,0,2,0,4
25723,0,0,0,0,0,0,2
25724,2,0,0,0,0,0,4
25725,0,1,2,3,0,0,6
25726,1,0,0,0,0,0,3
25727,0,0,0,0,0,0,2
25728,7,1,0,0,0,0,9
25729,0,0,0,0,0,1,2
25730,1,0,1,0,0,0,4
25731,0,3,0,0,2,0,4
25732,2,0,0,1,0,0,4
25733,0,0,0,0,0,0,1
25734,1,1,0,0,0,0,3
25735,0,0,1,0,0,0,2
25736,3,0,0,0,0,0,4
25737,0,1,0,0,0,0,3
25738,1,0,0,0,0,0,3
25739,0,0,0,1,0,0,2
25740,2,2,1,0,2,1,7
25741,0,0,0,0,0,0,1
25742,1,0,0,0,0,0,3
25743,0,1,0,0,0,0,2
25744,4,0,0,0,0,0,5
25745,0,0,1,0,0,0,3
25746,1,1,0,1,0,0,4
25747,0,0,0,0,0,0,1
25748,2,0,0,0,0,0,4
25749,0,2,0,0,2,0,3
25750,1,0,3,0,0,0,5
25751,0,0,0,0,0,1,2
25752,3,1,0,0,0,0,6
25753,0,0,0,1,0,0,3
25754,1,0,0,0,0,0,3
25755,0,1,1,0,0,0,4
25756,2,0,0,0,0,0,4
25757,0,0,0,0,0,0,2
25758,1,5,0,0,4,0,7
25759,0,0,0,0,0,0,1
25760,5,0,1,1,0,0,8
25761,0,1,0,0,0,0,3
25762,1,0,0,0,0,1,3
25763,0,0,0,0,0,0,1
25764,2,1,0,0,0,0,5
25765,0,0,1,0,0,0,2
25766,1,0,0,0,0,0,3
25767,0,2,0,1,2,0,4
25768,3,0,0,0,0,0,4
25769,0,0,0,0,0,0,2
25770,1,1,1,0,0,0,4
25771,0,0,0,0,0,0,1
25772,2,0,0,0,0,0,4
25773,0,1,0,0,0,2,4
25774,1,0,0,2,0,0,4
25775,0,0,2,0,0,0,3
25776,4,2,0,0,2,0,7
25777,0,0,0,0,0,0,2
25778,1,0,0,0,0,0,2
25779,0,1,0,0,0,0,3
25780,2,0,1,0,0,0,4
25781,0,0,0,1,0,0,3
25782,1,1,0,0,0,0,3
25783,0,0,0,0,0,0,3
25784,3,0,0,0,0,1,5
25785,0,3,1,0,2,0,5
25786,1,0,0,0,0,0,2
25787,0,0,0,0,0,0,2
25788,2,1,0,1,0,0,5
25789,0,0,0,0,0,0,3
25790,1,0,1,0,0,0,3
25791,0,1,0,0,0,0,2
25792,6,0,0,0,0,0,8
25793,0,0,0,0,0,0,1
25794,1,2,0,0,2,0,4
25795,0,0,1,1,0,1,4
25796,2,0,0,0,0,0,3
25797,0,1,0,0,0,0,2
25798,1,0,0,0,0,0,2
25799,0,0,0,0,0,0,1
25800,3,1,2,0,0,0,7
25801,0,0,0,0,0,0,1
25802,1,0,0,1,0,0,4
25803,0,2,0,0,2,0,4
25804,2,0,0,0,0,0,3
25805,0,0,1,0,0,0,3
25806,1,1,0,0,0,1,5
25807,0,0,0,0,0,0,2
25808,4,0,0,0,0,0,5
25809,0,1,0,1,0,0,3
25810,1,0,1,0,0,0,4
25811,0,0,0,0,0,0,2
25812,2,3,0,0,2,0,6
25813,0,0,0,0,0,0,2
25814,1,0,0,0,0,0,2
25815,0,1,1,0,0,0,3
25816,3,0,0,1,0,0,5
25817,0,0,0,0,0,1,2
25818,1,1,0,0,0,0,4
25819,0,0,0,0,0,0,1
25820,2,0,1,0,0,0,4
25821,0,2,0,0,2,0,4
25822,1,0,0,0,0,0,2
25823,0,0,0,2,0,0,4
25824,5,1,0,0,0,0,7
25825,0,0,2,0,0,0,3
25826,1,0,0,0,0,0,3
25827,0,1,0,0,0,0,2
25828,2,0,0,0,0,1,4
25829,0,0,0,0,0,0,2
25830,1,2,1,1,2,0,6
25831,0,0,0,0,0,0,2
25832,3,0,0,0,0,0,4
25833,0,1,0,0,0,0,3
25834,1,0,0,0,0,0,2
25835,0,0,1,0,0,0,2
25836,2,1,0,0,0,0,4
25837,0,0,0,1,0,0,2
25838,1,0,0,0,0,0,2
25839,0,4,0,0,4,1,6
25840,4,0,1,0,0,0,7
25841,0,0,0,0,0,0,1
25842,1,1,0,0,0,0,4
25843,0,0,0,0,0,0,2
25844,2,0,0,1,0,0,5
25845,0,1,1,0,0,0,3
25846,1,0,0,0,0,0,2
25847,0,0,0,0,0,0,1
25848,3,2,0,0,2,0,6
25849,0,0,0,0,0,0,1
25850,1,0,2,0,0,1,5
25851,0,1,0,1,0,0,3
25852,2,0,0,0,0,0,4
25853,0,0,0,0,0,0,2
25854,1,1,0,0,0,0,4
25855,0,0,1,0,0,0,2
25856,8,0,0,0,0,0,9
25857,0,2,0,0,2,0,5
25858,1,0,0,1,0,0,3
25859,0,0,0,0,0,0,2
25860,2,1,1,0,0,0,5
25861,0,0,0,0,0,1,2
25862,1,0,0,0,0,0,3
25863,0,1,0,0,0,0,3
25864,3,0,0,0,0,0,5
25865,0,0,1,1,0,0,3
25866,1,3,0,0,2,0,5
25867,0,0,0,0,0,0,1
25868,2,0,0,0,0,0,4
25869,0,1,0,0,0,0,2
25870,1,0,1,0,0,0,4
25871,0,0,0,0,0,0,2
25872,4,1,0,2,0,1,8
25873,0,0,0,0,0,0,1
25874,1,0,0,0,0,0,3
25875,0,2,3,0,2,0,6
25876,2,0,0,0,0,0,3
25877,0,0,0,0,0,0,2
25878,1,1,0,0,0,0,4
25879,0,0,0,1,0,0,2
25880,3,0,1,0,0,0,5
25881,0,1,0,0,0,0,2
25882,1,0,0,0,0,0,2
25883,0,0,0,0,0,1,3
25884,2,2,0,0,2,0,5
25885,0,0,1,0,0,0,3
25886,1,0,0,1,0,0,4
25887,0,1,0,0,0,0,2
25888,5,0,0,0,0,0,6
25889,0,0,0,0,0,0,1
25890,1,1,1,0,0,0,4
25891,0,0,0,0,0,0,2
25892,2,0,0,0,0,0,3
25893,0,3,0,1,2,0,5
25894,1,0,0,0,0,2,4
25895,0,0,1,0,0,0,2
25896,3,1,0,0,0,0,6
25897,0,0,0,0,0,0,3
25898,1,0,0,0,0,0,3
25899,0,1,0,0,0,0,3
25900,2,0,2,1,0,0,6
25901,0,0,0,0,0,0,2
25902,1,2,0,0,2,0,4
25903,0,0,0,0,0,0,1
