n,Omega_2,Omega_3,Omega_5,Omega_7,Omega_9,Omega_11,Omega_total
198,1,2,0,0,2,1,4
199,0,0,0,0,0,0,1
200,3,0,2,0,0,0,5
201,0,1,0,0,0,0,2
202,1,0,0,0,0,0,2
203,0,0,0,1,0,0,2
204,2,1,0,0,0,0,4
205,0,0,1,0,0,0,2
206,1,0,0,0,0,0,2
207,0,2,0,0,2,0,3
208,4,0,0,0,0,0,5
209,0,0,0,0,0,1,2
210,1,1,1,1,0,0,4
211,0,0,0,0,0,0,1
212,2,0,0,0,0,0,3
213,0,1,0,0,0,0,2
214,1,0,0,0,0,0,2
215,0,0,1,0,0,0,2
216,3,3,0,0,2,0,6
217,0,0,0,1,0,0,2
218,1,0,0,0,0,0,2
219,0,1,0,0,0,0,2
220,2,0,1,0,0,1,4
221,0,0,0,0,0,0,2
222,1,1,0,0,0,0,3
223,0,0,0,0,0,0,1
224,5,0,0,1,0,0,6
225,0,2,2,0,2,0,4
226,1,0,0,0,0,0,2
227,0,0,0,0,0,0,1
228,2,1,0,0,0,0,4
229,0,0,0,0,0,0,1
230,1,0,1,0,0,0,3
231,0,1,0,1,0,1,3
232,3,0,0,0,0,0,4
233,0,0,0,0,0,0,1
234,1,2,0,0,2,0,4
235,0,0,1,0,0,0,2
236,2,0,0,0,0,0,3
237,0,1,0,0,0,0,2
238,1,0,0,1,0,0,3
239,0,0,0,0,0,0,1
240,4,1,1,0,0,0,6
241,0,0,0,0,0,0,1
242,1,0,0,0,0,2,3
243,0,5,0,0,4,0,5
244,2,0,0,0,0,0,3
245,0,0,1,2,0,0,3
246,1,1,0,0,0,0,3
247,0,0,0,0,0,0,2
248,3,0,0,0,0,0,4
249,0,1,0,0,0,0,2
250,1,0,3,0,0,0,4
251,0,0,0,0,0,0,1
252,2,2,0,1,2,0,5
253,0,0,0,0,0,1,2
254,1,0,0,0,0,0,2
255,0,1,1,0,0,0,3
256,8,0,0,0,0,0,8
257,0,0,0,0,0,0,1
258,1,1,0,0,0,0,3
259,0,0,0,1,0,0,2
260,2,0,1,0,0,0,4
261,0,2,0,0,2,0,3
262,1,0,0,0,0,0,2
263,0,0,0,0,0,0,1
264,3,1,0,0,0,1,5
265,0,0,1,0,0,0,2
266,1,0,0,1,0,0,3
267,0,1,0,0,0,0,2
268,2,0,0,0,0,0,3
269,0,0,0,0,0,0,1
270,1,3,1,0,2,0,5
271,0,0,0,0,0,0,1
272,4,0,0,0,0,0,5
273,0,1,0,1,0,0,3
274,1,0,0,0,0,0,2
275,0,0,2,0,0,1,3
276,2,1,0,0,0,0,4
277,0,0,0,0,0,0,1
278,1,0,0,0,0,0,2
279,0,2,0,0,2,0,3
280,3,0,1,1,0,0,5
281,0,0,0,0,0,0,1
282,1,1,0,0,0,0,3
283,0,0,0,0,0,0,1
284,2,0,0,0,0,0,3
285,0,1,1,0,0,0,3
286,1,0,0,0,0,1,3
287,0,0,0,1,0,0,2
288,5,2,0,0,2,0,7
289,0,0,0,0,0,0,2
290,1,0,1,0,0,0,3
291,0,1,0,0,0,0,2
292,2,0,0,0,0,0,3
293,0,0,0,0,0,0,1
294,1,1,0,2,0,0,4
295,0,0,1,0,0,0,2
296,3,0,0,0,0,0,4
297,0,3,0,0,2,1,4
298,1,0,0,0,0,0,2
299,0,0,0,0,0,0,2
300,2,1,2,0,0,0,5
301,0,0,0,1,0,0,2
302,1,0,0,0,0,0,2
303,0,1,0,0,0,0,2
304,4,0,0,0,0,0,5
305,0,0,1,0,0,0,2
306,1,2,0,0,2,0,4
307,0,0,0,0,0,0,1
308,2,0,0,1,0,1,4
309,0,1,0,0,0,0,2
310,1,0,1,0,0,0,3
311,0,0,0,0,0,0,1
312,3,1,0,0,0,0,5
313,0,0,0,0,0,0,1
314,1,0,0,0,0,0,2
315,0,2,1,1,2,0,4
316,2,0,0,0,0,0,3
317,0,0,0,0,0,0,1
318,1,1,0,0,0,0,3
319,0,0,0,0,0,1,2
320,6,0,1,0,0,0,7
321,0,1,0,0,0,0,2
322,1,0,0,1,0,0,3
323,0,0,0,0,0,0,2
324,2,4,0,0,4,0,6
325,0,0,2,0,0,0,3
326,1,0,0,0,0,0,2
327,0,1,0,0,0,0,2
328,3,0,0,0,0,0,4
329,0,0,0,1,0,0,2
330,1,1,1,0,0,1,4
331,0,0,0,0,0,0,1
332,2,0,0,0,0,0,3
333,0,2,0,0,2,0,3
334,1,0,0,0,0,0,2
335,0,0,1,0,0,0,2
336,4,1,0,1,0,0,6
337,0,0,0,0,0,0,1
338,1,0,0,0,0,0,3
339,0,1,0,0,0,0,2
340,2,0,1,0,0,0,4
341,0,0,0,0,0,1,2
342,1,2,0,0,2,0,4
343,0,0,0,3,0,0,3
344,3,0,0,0,0,0,4
345,0,1,1,0,0,0,3
346,1,0,0,0,0,0,2
347,0,0,0,0,0,0,1
348,2,1,0,0,0,0,4
349,0,0,0,0,0,0,1
350,1,0,2,1,0,0,4
351,0,3,0,0,2,0,4
352,5,0,0,0,0,1,6
353,0,0,0,0,0,0,1
354,1,1,0,0,0,0,3
355,0,0,1,0,0,0,2
356,2,0,0,0,0,0,3
357,0,1,0,1,0,0,3
358,1,0,0,0,0,0,2
359,0,0,0,0,0,0,1
360,3,2,1,0,2,0,6
361,0,0,0,0,0,0,2
362,1,0,0,0,0,0,2
363,0,1,0,0,0,2,3
364,2,0,0,1,0,0,4
365,0,0,1,0,0,0,2
366,1,1,0,0,0,0,3
367,0,0,0,0,0,0,1
368,4,0,0,0,0,0,5
369,0,2,0,0,2,0,3
370,1,0,1,0,0,0,3
371,0,0,0,1,0,0,2
372,2,1,0,0,0,0,4
373,0,0,0,0,0,0,1
374,1,0,0,0,0,1,3
375,0,1,3,0,0,0,4
376,3,0,0,0,0,0,4
377,0,0,0,0,0,0,2
378,1,3,0,1,2,0,5
379,0,0,0,0,0,0,1
380,2,0,1,0,0,0,4
381,0,1,0,0,0,0,2
382,1,0,0,0,0,0,2
383,0,0,0,0,0,0,1
384,7,1,0,0,0,0,8
385,0,0,1,1,0,1,3
386,1,0,0,0,0,0,2
387,0,2,0,0,2,0,3
388,2,0,0,0,0,0,3
389,0,0,0,0,0,0,1
390,1,1,1,0,0,0,4
391,0,0,0,0,0,0,2
392,3,0,0,2,0,0,5
393,0,1,0,0,0,0,2
394,1,0,0,0,0,0,2
395,0,0,1,0,0,0,2
396,2,2,0,0,2,1,5
397,0,0,0,0,0,0,1
398,1,0,0,0,0,0,2
399,0,1,0,1,0,0,3
400,4,0,2,0,0,0,6
401,0,0,0,0,0,0,1
402,1,1,0,0,0,0,3
403,0,0,0,0,0,0,2
404,2,0,0,0,0,0,3
405,0,4,1,0,4,0,5
406,1,0,0,1,0,0,3
407,0,0,0,0,0,1,2
408,3,1,0,0,0,0,5
409,0,0,0,0,0,0,1
410,1,0,1,0,0,0,3
411,0,1,0,0,0,0,2
412,2,0,0,0,0,0,3
413,0,0,0,1,0,0,2
414,1,2,0,0,2,0,4
415,0,0,1,0,0,0,2
416,5,0,0,0,0,0,6
417,0,1,0,0,0,0,2
418,1,0,0,0,0,1,3
419,0,0,0,0,0,0,1
420,2,1,1,1,0,0,5
421,0,0,0,0,0,0,1
422,1,0,0,0,0,0,2
423,0,2,0,0,2,0,3
424,3,0,0,0,0,0,4
425,0,0,2,0,0,0,3
426,1,1,0,0,0,0,3
427,0,0,0,1,0,0,2
428,2,0,0,0,0,0,3
429,0,1,0,0,0,1,3
430,1,0,1,0,0,0,3
431,0,0,0,0,0,0,1
432,4,3,0,0,2,0,7
433,0,0,0,0,0,0,1
434,1,0,0,1,0,0,3
435,0,1,1,0,0,0,3
436,2,0,0,0,0,0,3
437,0,0,0,0,0,0,2
438,1,1,0,0,0,0,3
439,0,0,0,0,0,0,1
440,3,0,1,0,0,1,5
441,0,2,0,2,2,0,4
442,1,0,0,0,0,0,3
443,0,0,0,0,0,0,1
444,2,1,0,0,0,0,4
445,0,0,1,0,0,0,2
446,1,0,0,0,0,0,2
447,0,1,0,0,0,0,2
448,6,0,0,1,0,0,7
449,0,0,0,0,0,0,1
450,1,2,2,0,2,0,5
451,0,0,0,0,0,1,2
452,2,0,0,0,0,0,3
453,0,1,0,0,0,0,2
454,1,0,0,0,0,0,2
455,0,0,1,1,0,0,3
456,3,1,0,0,0,0,5
457,0,0,0,0,0,0,1
458,1,0,0,0,0,0,2
459,0,3,0,0,2,0,4
460,2,0,1,0,0,0,4
461,0,0,0,0,0,0,1
462,1,1,0,1,0,1,4
463,0,0,0,0,0,0,1
464,4,0,0,0,0,0,5
465,0,1,1,0,0,0,3
466,1,0,0,0,0,0,2
467,0,0,0,0,0,0,1
468,2,2,0,0,2,0,5
469,0,0,0,1,0,0,2
470,1,0,1,0,0,0,3
471,0,1,0,0,0,0,2
472,3,0,0,0,0,0,4
473,0,0,0,0,0,1,2
474,1,1,0,0,0,0,3
475,0,0,2,0,0,0,3
476,2,0,0,1,0,0,4
477,0,2,0,0,2,0,3
478,1,0,0,0,0,0,2
479,0,0,0,0,0,0,1
480,5,1,1,0,0,0,7
481,0,0,0,0,0,0,2
482,1,0,0,0,0,0,2
483,0,1,0,1,0,0,3
484,2,0,0,0,0,2,4
485,0,0,1,0,0,0,2
486,1,5,0,0,4,0,6
487,0,0,0,0,0,0,1
488,3,0,0,0,0,0,4
489,0,1,0,0,0,0,2
490,1,0,1,2,0,0,4
491,0,0,0,0,0,0,1
492,2,1,0,0,0,0,4
493,0,0,0,0,0,0,2
494,1,0,0,0,0,0,3
495,0,2,1,0,2,1,4
496,4,0,0,0,0,0,5
497,0,0,0,1,0,0,2
498,1,1,0,0,0,0,3
499,0,0,0,0,0,0,1
500,2,0,3,0,0,0,5
501,0,1,0,0,0,0,2
502,1,0,0,0,0,0,2
503,0,0,0,0,0,0,1
504,3,2,0,1,2,0,6
505,0,0,1,0,0,0,2
506,1,0,0,0,0,1,3
507,0,1,0,0,0,0,3
508,2,0,0,0,0,0,3
509,0,0,0,0,0,0,1
510,1,1,1,0,0,0,4
511,0,0,0,1,0,0,2
512,9,0,0,0,0,0,9
513,0,3,0,0,2,0,4
514,1,0,0,0,0,0,2
515,0,0,1,0,0,0,2
516,2,1,0,0,0,0,4
517,0,0,0,0,0,1,2
518,1,0,0,1,0,0,3
519,0,1,0,0,0,0,2
520,3,0,1,0,0,0,5
521,0,0,0,0,0,0,1
522,1,2,0,0,2,0,4
523,0,0,0,0,0,0,1
524,2,0,0,0,0,0,3
525,0,1,2,1,0,0,4
526,1,0,0,0,0,0,2
527,0,0,0,0,0,0,2
528,4,1,0,0,0,1,6
529,0,0,0,0,0,0,2
530,1,0,1,0,0,0,3
531,0,2,0,0,2,0,3
532,2,0,0,1,0,0,4
533,0,0,0,0,0,0,2
534,1,1,0,0,0,0,3
535,0,0,1,0,0,0,2
536,3,0,0,0,0,0,4
537,0,1,0,0,0,0,2
538,1,0,0,0,0,0,2
539,0,0,0,2,0,1,3
540,2,3,1,0,2,0,6
541,0,0,0,0,0,0,1
542,1,0,0,0,0,0,2
543,0,1,0,0,0,0,2
544,5,0,0,0,0,0,6
545,0,0,1,0,0,0,2
546,1,1,0,1,0,0,4
547,0,0,0,0,0,0,1
548,2,0,0,0,0,0,3
549,0,2,0,0,2,0,3
550,1,0,2,0,0,1,4
551,0,0,0,0,0,0,2
552,3,1,0,0,0,0,5
553,0,0,0,1,0,0,2
