sample,tray_num,block_num,desert,fire_name,fire_year,TSF,TSF2,burn,plot_num,fullplot_name,line,location,overstory,unique_ID,date_coll
503,63,5,CH,JCB,CON,control,15C,control,4,CH-JCB-CON-1,3,20,S,CH-JCB-CON-1-3-20-S,2018-10-21
228,29,3,CH,JCB,CON,control,15C,control,5,CH-JCB-CON-2,1,10,I,CH-JCB-CON-2-1-10-I,2018-10-21
471,59,6,CH,JCB,CON,control,15C,control,5,CH-JCB-CON-2,1,10,S,CH-JCB-CON-2-1-10-S,2018-10-21
411,52,5,CH,JCB,CON,control,15C,control,5,CH-JCB-CON-2,1,20,I,CH-JCB-CON-2-1-20-I,2018-10-21
382,48,5,CH,JCB,CON,control,15C,control,5,CH-JCB-CON-2,1,20,S,CH-JCB-CON-2-1-20-S,2018-10-21
72,9,4,CH,JCB,CON,control,15C,control,5,CH-JCB-CON-2,2,10,I,CH-JCB-CON-2-2-10-I,2018-10-21
148,19,2,CH,JCB,CON,control,15C,control,5,CH-JCB-CON-2,2,10,S,CH-JCB-CON-2-2-10-S,2018-10-21
20,3,2,CH,JCB,CON,control,15C,control,5,CH-JCB-CON-2,2,20,I,CH-JCB-CON-2-2-20-I,2018-10-21
39,5,2,CH,JCB,CON,control,15C,control,5,CH-JCB-CON-2,2,20,S,CH-JCB-CON-2-2-20-S,2018-10-21
18,3,2,CH,JCB,CON,control,15C,control,5,CH-JCB-CON-2,3,10,I,CH-JCB-CON-2-3-10-I,2018-10-21
14,2,1,CH,JCB,CON,control,15C,control,5,CH-JCB-CON-2,3,10,S,CH-JCB-CON-2-3-10-S,2018-10-21
309,39,3,CH,JCB,CON,control,15C,control,5,CH-JCB-CON-2,3,20,I,CH-JCB-CON-2-3-20-I,2018-10-21
368,46,6,CH,JCB,CON,control,15C,control,5,CH-JCB-CON-2,3,20,S,CH-JCB-CON-2-3-20-S,2018-10-21
307,39,3,CH,JCB,CON,control,15C,control,6,CH-JCB-CON-3,1,10,I,CH-JCB-CON-3-1-10-I,2018-10-21
171,22,1,CH,JCB,CON,control,15C,control,6,CH-JCB-CON-3,1,10,S,CH-JCB-CON-3-1-10-S,2018-10-21
424,53,5,CH,JCB,CON,control,15C,control,6,CH-JCB-CON-3,1,20,I,CH-JCB-CON-3-1-20-I,2018-10-21
3,1,1,CH,JCB,CON,control,15C,control,6,CH-JCB-CON-3,1,20,S,CH-JCB-CON-3-1-20-S,2018-10-21
