sample,AF,AG,PF,PG,SH
302,1,0,6,11,0
303,0,0,0,3,0
304,14,0,0,0,0
305,1,0,0,2,0
306,3,0,1,7,0
308,1,0,2,0,0
309,3,0,0,0,0
310,1,5,0,0,2
311,0,1,1,0,0
312,1,0,25,59,0
313,1,1,0,2,0
314,42,0,0,0,0
315,4,2,0,0,0
316,2,2,0,0,0
317,3,8,0,0,0
318,0,0,0,3,0
319,7,0,0,0,0
320,0,0,0,3,0
321,2,1,0,0,1
322,0,0,0,2,0
323,1,0,1,3,0
325,5,12,0,0,0
326,8,0,0,0,0
327,4,0,0,0,0
328,0,0,0,3,0
329,1,0,1,159,0
330,3,0,0,0,0
331,1,0,0,0,0
332,0,0,0,1,0
333,4,1,0,0,0
334,8,60,0,0,0
335,6,2,0,0,0
336,6,0,0,0,0
337,25,0,0,1,0
338,1,0,0,4,0
339,0,1,0,0,0
340,2,0,0,0,0
341,1,0,0,0,0
342,15,0,0,0,0
343,11,0,0,0,0
344,1,1,0,17,3
345,1,0,0,0,0
346,6,3,0,0,2
347,54,0,0,0,0
348,1,0,0,0,0
349,0,8,3,0,0
350,18,1,0,0,1
352,1,1,0,0,0
353,11,1,0,0,1
354,6,0,0,0,6
355,1,0,0,1,0
356,0,0,4,27,0
357,2,1,0,0,0
358,9,0,5,0,0
359,24,2,0,0,0
361,2,0,0,0,0
363,18,0,1,0,0
364,0,0,0,3,0
365,21,12,0,0,0
366,15,0,0,0,1
367,13,0,0,0,0
368,13,0,0,1,0
370,4,2,0,0,0
371,2,0,0,0,0
372,1,1,0,2,0
373,1,1,0,1,0
374,9,1,0,0,0
375,11,0,0,0,3
376,7,0,0,0,0
378,2,4,6,23,0
379,3,0,0,1,0
380,0,1,0,0,0
381,12,0,0,0,1
382,13,0,0,0,0
383,1,5,0,0,0
384,0,0,0,5,0
385,3,0,1,0,0
386,13,0,0,0,0
387,1,0,0,1,0
388,3,16,0,6,1
389,6,0,0,0,0
390,1,0,0,0,0
391,0,6,0,0,0
392,9,0,0,0,3
393,21,0,0,0,0
394,3,0,0,0,0
395,0,0,0,8,0
396,0,11,0,0,0
397,1,4,0,0,0
398,1,0,0,2,0
399,2,3,0,0,0
400,0,0,0,2,0
401,1,0,1,14,0
402,1,1,0,0,0
403,6,0,0,0,0
404,5,0,0,1,0
405,17,8,0,0,1
406,20,0,0,0,0
407,11,3,0,0,0
409,1,0,0,0,0
410,7,0,0,0,0
411,3,0,0,0,0
412,7,0,0,0,0
413,0,0,7,0,0
414,1,0,1,5,0
415,1,0,0,0,0
418,9,0,0,0,0
419,13,1,1,0,0
420,4,1,0,0,0
421,2,3,0,0,1
422,0,0,0,2,0
423,7,1,0,0,0
424,4,0,0,0,0
425,22,2,0,0,0
426,7,0,0,0,0
427,2,1,0,9,0
428,1,9,0,0,0
429,1,0,3,0,0
431,1,0,2,0,0
432,4,0,0,0,0
434,1,3,0,0,4
435,13,0,0,0,0
437,1,0,0,0,0
438,31,22,0,0,1
439,9,1,0,0,5
440,0,0,0,3,0
442,5,0,0,0,0
443,0,0,1,0,0
444,4,0,0,0,0
446,1,0,0,0,0
447,0,6,0,0,0
448,5,0,0,0,0
449,5,2,0,0,0
450,7,0,0,0,0
451,1,0,1,0,0
452,7,11,0,0,0
453,0,0,0,1,0
454,1,1,0,16,0
455,10,2,1,0,0
456,13,29,0,3,0
457,0,0,1,11,0
458,5,0,0,0,0
459,4,6,0,0,0
460,14,0,0,0,0
461,3,2,0,0,0
462,3,0,0,0,0
463,2,4,0,0,2
464,1,0,3,8,0
465,1,0,0,0,0
466,1,0,0,3,0
467,0,0,2,1,0
468,5,2,0,0,0
469,3,0,0,0,0
470,26,1,0,0,3
471,11,0,1,0,0
474,1,0,0,1,0
475,1,4,0,1,0
478,10,1,0,0,0
480,0,0,1,0,0
481,0,1,0,0,0
482,24,1,0,0,0
483,1,1,0,0,0
485,1,0,0,0,0
486,14,17,0,0,0
487,7,0,0,0,0
488,0,3,0,0,1
489,1,31,0,0,0
490,4,0,0,0,0
491,11,4,0,0,0
492,2,16,0,0,0
494,1,0,0,0,0
495,54,36,3,0,2
496,12,9,0,0,0
497,6,17,0,1,0
498,4,0,0,0,1
499,4,1,0,0,0
500,1,1,4,0,0
501,10,0,0,0,0
502,1,66,0,0,0
503,23,0,1,0,0
504,2,0,0,0,0
505,0,0,0,1,0
506,3,1,0,0,0
507,0,5,0,2,0
508,12,0,0,0,0
509,3,10,0,0,0
512,19,1,0,0,0
513,0,0,0,0,2
514,9,1,0,0,0
515,0,0,1,4,0
517,9,0,0,0,0
518,5,0,0,0,0
519,6,0,6,1,0
520,20,0,0,0,0
521,5,1,0,0,0
522,31,1,0,0,0
523,1,0,1,0,0
524,2,98,0,0,0
525,2,0,0,0,0
526,0,1,0,1,0
527,4,5,1,2,0
528,17,4,0,0,0
529,3,0,0,0,0
530,0,0,0,4,0
531,1,0,0,0,0
532,2,0,0,0,0
533,0,0,0,6,0
534,13,0,0,0,0
536,5,0,0,0,0
537,1,1,0,0,4
538,17,0,0,2,0
539,3,0,0,0,0
540,2,10,0,0,0
