study,burn,sites,Project_site,Lat.N.,Lon.W.,BS.dens.pre,BS.ba.pre,TA.den.pre,TA.ba.pre,PB.dens.pre,PB.ba.pre,bs.biomass.pre,ta.biomass.pre,pb.biomass.pre,decid.dens.pre,decid.ba.pre,decid.bio.pre,rel.decid.dens.pre,rel.decid.ba.pre,rel.decid.bio.pre,DI.pre,class.pre,BS.dens.post,TA.dens.post,PB.dens.post,decid.dens.post,bs.bio.post,ta.bio.post,pb.bio.post,decid.bio.post,rel.decid.dens.post,rel.decid.bio.post,DI.post,class.post
DiVA,Rex Creek,3583,DiVA_3583,64.22837497,-149.31177,4.833333,21.109,0.1,2.366513333,0.083333333,2.057354167,6360.234649,629.1009366,477.1695901,0.183333333,4.4238675,1106.270527,0.036544853,0.173261679,0.148164436,9.235464433,Spruce,3.833333333,2.166666667,9,11.16666667,28.36385157,282.4558633,19.27622321,301.7320865,0.744444445,0.914073915,82.92591799,Decid
DiVA,Rex Creek,4518,DiVA_4518,64.23076004,-149.311289,2.666667,11.277,0.05,4.115231667,0.183333333,6.159371667,3406.581243,1286.401855,1011.742166,0.233333333,10.27460333,2298.144021,0.080459761,0.476744267,0.402849202,24.16544814,Spruce,0.166666667,0.5,0.833333333,1.333333333,0.02373386,2.852214213,80.72768151,83.57989573,0.888888889,0.999716114,94.43025016,Decid
DiVA,Rex Creek,4897,DiVA_4897,64.22591999,-149.309909,3.333333,6.785,0.033333333,5.696090833,0,0,2173.098009,1957.964799,0,0.033333333,5.696090833,1957.964799,0.009900991,0.456377644,0.473961518,24.19312544,Spruce,0.166666667,0.666666667,0,0.666666667,0.113156276,58.54800072,0,58.54800072,0.8,0.998071019,89.90355092,Decid
DiVA,Skinny's,3,DiVA_3,64.7185,-148.61897,0.666667,0.398,0.033333333,1.064721667,0.283333333,19.0240825,140.6139139,294.292883,166.1839427,0.316666666,20.08880417,460.4768257,0.322033789,0.980572861,0.76606874,54.40512645,Mixed,0.166666667,0.5,10,10.5,0.007286899,11.11051716,7.195604141,18.3061213,0.984375,0.9996021,99.19885502,Decid
DiVA,Skinny's,53,DiVA_53,64.71461,-148.59767,0,0,0,0,0.05,5.796701667,0,0,0,0.05,5.796701667,0,1,1,1,100,Decid,0.333333333,1.333333333,1,2.333333333,0,150.3535397,66.61623115,216.9697709,0.875,1,93.75,Decid
DiVA,Skinny's,77,DiVA_77,64.72306299,-148.602716,0,0,0,0,0.116666667,28.11372833,0,0,0,0.116666667,28.11372833,0,1,1,1,100,Decid,1.5,0,23,23,1.001861308,0,1377.745722,1377.745722,0.93877551,0.999273354,96.90244321,Decid
DiVA,Skinny's,702,DiVA_702,64.71682,-148.60556,0.666667,5.442,0,0,0.15,22.8949175,1559.673614,0,1757.761932,0.15,22.8949175,1757.761932,0.183673394,0.807953706,0.529855639,35.67645168,Mixed,0.166666667,0,0.666666667,0.666666667,0.014050311,0,1.030857517,1.030857517,0.8,0.98655354,89.32767701,Decid
DiVA,Skinny's,715,DiVA_715,64.71438504,-148.620859,9.333333,8.147,0,0,0.166666667,14.85691,2792.183741,0,151.0254267,0.166666667,14.85691,151.0254267,0.01754386,0.645842815,0.051313182,3.442852098,Spruce,1.666666667,0.166666667,17.16666667,17.33333333,0.994190681,0.003274804,63.67090089,63.6741757,0.912280702,0.984626321,94.84535116,Decid
DiVA,Skinny's,749,DiVA_749,64.71507,-148.61737,0.333333,8.776,0,0,0.166666667,30.77213083,2290.267995,0,7464.981492,0.166666667,30.77213083,7464.981492,0.333333556,0.778093179,0.765227122,54.92803391,Mixed,0,0,0.833333333,0.833333333,0,0,0.139281047,0.139281047,1,1,100,Decid
DiVA,Skinny's,1589,DiVA_1589,64.7128,-148.62047,0.833333,1.063,0,0,0.183333333,26.59449167,353.4266089,0,256.4990581,0.183333333,26.59449167,256.4990581,0.180327928,0.961565567,0.420541505,30.04347165,Spruce,0.333333333,1.5,9.666666667,11.16666667,0,254.9683408,12.04054553,267.0088864,0.971014493,1,98.55072464,Decid
