prime,omega_p,tau_p
2,1.324717957244746,0.2811995743229619
3,1.324717957244746,0.2811995743229619
5,1.216391661152254,0.1958888214475696
7,1.1762808182599176,0.1623576120077382
11,1.1672954645522828,0.15468950425154415
13,1.1530756808536002,0.142432877340635
