desert,burn,overstory,sample_mean,sample_std,sample_count,AF_mean,AF_std,AF_count,AG_mean,AG_std,AG_count,PF_mean,PF_std,PF_count,PG_mean,PG_std,PG_count,SH_mean,SH_std,SH_count,tray_num_mean,tray_num_std,tray_num_count,block_num_mean,block_num_std,block_num_count,TSF_mean,TSF_std,TSF_count,TSF2_mean,TSF2_std,TSF2_count,plot_num_mean,plot_num_std,plot_num_count,line_mean,line_std,line_count,location_mean,location_std,location_count,total_seed_count_mean,total_seed_count_std,total_seed_count_count,fg_richness_mean,fg_richness_std,fg_richness_count
CH,burned,I,257.09090909090907,159.8808860598187,33,5.96969696969697,4.019365998550398,33,0.09090909090909091,0.2919371040605711,33,0.0,0.0,33,0.030303030303030304,0.17407765595569782,33,0.0,0.0,33,32.57575757575758,20.026592169897352,33,3.606060606060606,1.6759212753623367,33,22.272727272727273,7.612788283838285,33,,,0,4.878787878787879,3.1795987930631253,33,1.9393939393939394,0.8268688657895646,33,15.151515151515152,5.075192189225523,33,6.090909090909091,4.0261926522121705,33,1.121212121212121,0.33143398263980844,33
CH,burned,S,284.8,159.22658660648648,35,8.857142857142858,9.072073688435482,35,0.11428571428571428,0.40376380482162294,35,0.02857142857142857,0.1690308509457033,35,0.11428571428571428,0.403763804821623,35,0.0,0.0,35,36.05714285714286,19.921821994903947,35,3.6285714285714286,1.6464884966946778,35,22.714285714285715,7.606388292556649,35,,,0,5.057142857142857,3.180296482135858,35,2.0285714285714285,0.8219673059804996,35,15.142857142857142,5.070925528371099,35,9.114285714285714,9.348706826493762,35,1.2,0.40583972495671383,35
CH,control,I,306.3225806451613,149.521991046306,31,6.548387096774194,4.815521499466902,31,0.03225806451612903,0.17960530202677488,31,0.03225806451612903,0.1796053020267749,31,0.0,0.0,31,0.0,0.0,31,38.70967741935484,18.61933322899811,31,3.967741935483871,1.538047917930213,31,,,0,,,0,7.645161290322581,3.136328927230839,31,1.967741935483871,0.8360171835451684,31,14.838709677419354,5.080005080007621,31,6.612903225806452,4.889972183662117,31,1.064516129032258,0.24973103811470743,31
CH,control,S,265.22222222222223,173.19883059834706,36,13.833333333333334,13.438749941865872,36,0.08333333333333333,0.280305955290694,36,0.1111111111111111,0.3187276291558383,36,0.08333333333333333,0.3683941988065036,36,0.0,0.0,36,33.55555555555556,21.608787160312414,36,3.5,1.780850519113991,36,,,0,,,0,8.0,3.1532296368734616,36,2.0,0.828078671210825,36,15.0,5.070925528371099,36,14.11111111111111,13.530447733649314,36,1.25,0.43915503282683993,36
CP,burned,I,291.28,148.4768556599535,25,0.8,1.0408329997330663,25,0.2,0.4082482904638631,25,3.6,5.7008771254956905,25,8.2,12.718097341976904,25,0.0,0.0,25,36.88,18.500720706682394,25,3.52,1.686218649325565,25,25.8,6.87386354243376,25,,,0,28.08,1.7301252363147974,25,2.08,0.812403840463596,25,15.6,5.066228051190222,25,12.8,17.243356208503418,25,2.12,0.9273618495495701,25
CP,burned,S,241.04,148.33000370794844,25,1.36,3.147485769096767,25,0.96,1.2741009902410927,25,2.16,2.9535289626704753,25,4.76,7.8224037226417815,25,0.0,0.0,25,30.6,18.681541692269406,25,3.4,1.3228756555322954,25,24.6,7.348469228349534,25,,,0,27.92,1.5524174696260018,25,2.08,0.812403840463596,25,15.2,5.0990195135927845,25,9.24,10.552566828344025,25,2.44,0.916515138991168,25
CP,control,I,248.625,148.02651789459887,16,2.375,2.4731895735399396,16,0.0,0.0,16,0.875,1.2583057392117916,16,1.1875,2.104558544366648,16,0.0,0.0,16,31.5625,18.503941021667067,16,3.75,1.4832396974191324,16,,,0,,,0,32.0,0.8944271909999156,16,1.875,0.806225774829855,16,15.0,5.163977794943223,16,4.4375,3.6872528165740595,16,1.75,0.6831300510639732,16
CP,control,S,250.2,183.72736012130272,15,2.4,3.202677451312083,15,0.0,0.0,15,1.2,2.2424476423255526,15,1.2666666666666666,2.7894358535288784,15,0.0,0.0,15,31.666666666666668,22.98964570244199,15,3.466666666666667,1.8847761013926698,15,,,0,,,0,31.933333333333334,0.8837151016885368,15,2.066666666666667,0.7988086367179803,15,14.666666666666666,5.163977794943222,15,4.866666666666666,4.421807430495018,15,1.5333333333333334,0.7432233529572065,15
GB,burned,I,301.8888888888889,140.90742204476524,36,1.75,2.8119642346841567,36,3.5,8.875326955748085,36,0.3333333333333333,0.8944271909999159,36,9.555555555555555,29.372917014968973,36,0.0,0.0,36,38.22222222222222,17.637802116251994,36,3.861111111111111,1.7591033069278343,36,22.5,7.606388292556649,36,,,0,17.0,3.153229636873463,36,2.0,0.828078671210825,36,15.0,5.070925528371099,36,15.13888888888889,30.850008360987783,36,1.8888888888888888,0.9495195109039632,36
GB,burned,S,273.8333333333333,156.27201559186102,36,2.388888888888889,2.8513433202893563,36,3.8333333333333335,7.137426507002168,36,0.4444444444444444,1.1818736805705576,36,3.6666666666666665,5.0142653642240695,36,0.1388888888888889,0.5426273532033236,36,34.638888888888886,19.518713039802567,36,3.3333333333333335,1.7888543819998322,36,22.5,7.606388292556649,36,,,0,17.0,3.1532296368734625,36,2.0,0.8280786712108252,36,15.0,5.0709255283711,36,10.472222222222221,9.860414685893172,36,2.3333333333333335,1.01418510567422,36
