sample,AF,AG,PF,PG,SH,tray_num,block_num,desert,fire_name,fire_year,TSF,TSF2,burn,plot_num,fullplot_name,line,location,overstory,unique_ID,date_coll,total_seed_count,fg_richness
46,8,0,0,0,0,6,3,CH,JCB,1,15.0,,burned,2,CH-JCB-01-2,1,10,S,CH-JCB-01-2-1-10-S,2018-10-19,8,1
47,0,0,0,2,0,6,3,GB,OW,1,15.0,,burned,15,GB-OW-01-3,2,10,I,GB-OW-01-3-2-10-I,2018-06-26,2,1
49,1,0,0,2,0,7,3,GB,OW,CON,,,control,17,GB-OW-CON-2,2,10,S,GB-OW-CON-2-2-10-S,2018-06-25,3,2
50,3,0,0,1,0,7,3,CH,JCB,1,15.0,,burned,3,CH-JCB-01-3,2,20,I,CH-JCB-01-3-2-20-I,2018-10-20,4,2
52,1,0,0,0,0,7,3,GB,RAD,CON,,,control,22,GB-RAD-CON-1,2,20,I,GB-RAD-CON-1-2-20-I,2018-06-23,1,1
53,0,19,1,31,0,7,3,GB,RAD,84,30.0,,burned,20,GB-RAD-84-2,1,10,I,GB-RAD-84-2-1-10-I,2018-06-23,51,3
54,4,0,0,0,0,7,3,CH,JCB,1,15.0,,burned,3,CH-JCB-01-3,3,10,S,CH-JCB-01-3-3-10-S,2018-10-20,4,1
55,0,1,0,0,4,7,3,SO,GAT,80,30.0,,burned,35,SO-GAT-80-2,2,10,S,SO-GAT-80-2-2-10-S,2018-09-23,5,2
56,0,0,4,6,0,7,3,CP,,89,30.0,,burned,28,MV-89-1,2,10,S,MV-89-1-2-2-10-S,2018-06-07,10,2
57,2,1,0,0,0,8,3,SO,GAT,80,30.0,,burned,35,SO-GAT-80-2,3,20,I,SO-GAT-80-2-3-20-I,2018-09-23,3,2
58,3,0,0,0,0,8,3,CH,JCB,1,15.0,,burned,2,CH-JCB-01-2,1,20,I,CH-JCB-01-2-1-20-I,2018-10-19,3,1
59,7,0,0,0,0,8,3,CH,JCB,CON,,,control,6,CH-JCB-CON-3,3,20,S,CH-JCB-CON-3-3-20-S,2018-10-21,7,1
60,1,8,0,0,2,8,3,SO,GST,5,15.0,,burned,41,SO-GST-05-2,2,10,S,SO-GST-05-2-2-10-S,2018-09-27,11,3
61,1,1,13,0,0,8,3,CP,,89,30.0,,burned,28,MV-89-1,1,20,I,MV-89-1-1-1-20-I,2018-06-07,15,3
62,1,0,4,0,0,8,3,GB,OW,CON,,,control,18,GB-OW-CON-3,1,20,S,GB-OW-CON-3-1-20-S,2018-06-25,5,2
63,22,0,0,0,0,8,3,SO,GAT,CON,,,control,38,SO-GAT-CON-2,1,20,I,SO-GAT-CON-2-1-20-I,2018-09-24,22,1
64,1,0,1,1,0,8,3,CP,,0,15.0,,burned,27,MV-00-3,3,10,S,MV-00-3-3-3-10-S,2018-06-08,3,3
65,7,0,0,0,0,9,4,CH,JCB,1,15.0,,burned,3,CH-JCB-01-3,1,20,I,CH-JCB-01-3-1-20-I,2018-10-20,7,1
66,12,0,0,0,0,9,4,CH,KNT,89,30.0,,burned,8,CH-KNT-89-2,1,10,S,CH-KNT-89-2-1-10-S,2018-10-22,12,1
67,1,1,0,0,0,9,4,GB,RAD,CON,,,control,24,GB-RAD-CON-3,2,10,I,GB-RAD-CON-3-2-10-I,2018-06-24,2,2
68,11,0,0,0,0,9,4,CH,JCB,CON,,,control,4,CH-JCB-CON-1,2,20,I,CH-JCB-CON-1-2-20-I,2018-10-21,11,1
69,5,38,0,2,0,9,4,GB,RAD,84,30.0,,burned,20,GB-RAD-84-2,2,10,S,GB-RAD-84-2-2-10-S,2018-06-23,45,3
70,3,1,0,0,1,9,4,SO,GAT,80,30.0,,burned,35,SO-GAT-80-2,1,10,I,SO-GAT-80-2-1-10-I,2018-09-23,5,3
71,1,0,5,0,0,9,4,CP,,89,30.0,,burned,28,MV-89-1,1,10,S,MV-89-1-1-1-10-S,2018-06-07,6,2
72,8,0,0,0,0,9,4,CH,JCB,CON,,,control,5,CH-JCB-CON-2,2,10,I,CH-JCB-CON-2-2-10-I,2018-10-21,8,1
74,2,0,0,0,0,10,4,GB,RAD,CON,,,control,22,GB-RAD-CON-1,1,10,S,GB-RAD-CON-1-1-10-S,2018-06-23,2,1
76,8,14,0,0,0,10,4,SO,GST,5,15.0,,burned,40,SO-GST-05-1,2,20,S,SO-GST-05-1-2-20-S,2018-09-27,22,2
78,2,0,0,0,0,10,4,CH,JCB,1,15.0,,burned,2,CH-JCB-01-2,3,10,I,CH-JCB-01-2-3-10-I,2018-10-19,2,1
79,26,0,0,0,1,10,4,SO,GAT,80,30.0,,burned,34,SO-GAT-80-1,1,20,S,SO-GAT-80-1-1-20-S,2018-09-23,27,2
80,6,2,0,0,0,10,4,GB,RAD,84,30.0,,burned,19,GB-RAD-84-1,3,20,S,GB-RAD-84-1-3-20-S,2018-06-23,8,2
81,1,0,0,0,0,11,4,SO,GAT,CON,,,control,37,SO-GAT-CON-1,2,20,I,SO-GAT-CON-1-2-20-I,2018-09-24,1,1
82,2,0,0,0,0,11,4,GB,OW,CON,,,control,17,GB-OW-CON-2,1,10,I,GB-OW-CON-2-1-10-I,2018-06-25,2,1
83,4,0,0,0,0,11,4,CH,KNT,CON,,,control,11,CH-KNT-CON-2,2,10,S,CH-KNT-CON-2-2-10-S,2018-10-24,4,1
84,5,0,0,0,0,11,4,CH,JCB,CON,,,control,6,CH-JCB-CON-3,3,10,S,CH-JCB-CON-3-3-10-S,2018-10-21,5,1
88,0,0,0,1,0,11,4,CP,,CON,,,control,32,MV-CON-2,1,20,I,MV-CON-2-1-1-20-I,2018-06-07,1,1
89,3,0,0,0,0,12,4,SO,GAT,80,30.0,,burned,34,SO-GAT-80-1,2,10,S,SO-GAT-80-1-2-10-S,2018-09-23,3,1
90,5,0,0,0,0,12,4,CH,KNT,89,30.0,,burned,8,CH-KNT-89-2,2,20,S,CH-KNT-89-2-2-20-S,2018-10-22,5,1
91,2,7,0,15,0,12,4,GB,OW,1,15.0,,burned,15,GB-OW-01-3,2,10,S,GB-OW-01-3-2-10-S,2018-06-26,24,3
92,3,21,0,4,0,12,4,GB,RAD,84,30.0,,burned,20,GB-RAD-84-2,1,20,I,GB-RAD-84-2-1-20-I,2018-06-23,28,3
93,1,0,0,0,0,12,4,CP,,CON,,,control,33,MV-CON-3,3,10,S,MV-CON-3-3-3-10-S,2018-06-07,1,1
94,3,0,0,0,0,12,4,CH,KNT,89,30.0,,burned,9,CH-KNT-89-3,3,20,I,CH-KNT-89-3-3-20-I,2018-10-22,3,1
95,4,0,0,0,0,12,4,CH,JCB,1,15.0,,burned,1,CH-JCB-01-1,1,10,I,CH-JCB-01-1-1-10-I,2018-10-20,4,1
96,9,10,0,0,0,12,4,SO,GST,CON,,,control,45,SO-GST-CON-3,1,10,I,SO-GST-CON-3-1-10-I,2018-09-26,19,2
98,0,7,0,0,0,13,4,SO,GST,CON,,,control,45,SO-GST-CON-3,1,10,S,SO-GST-CON-3-1-10-S,2018-09-26,7,1
100,4,0,0,0,1,13,4,SO,GAT,CON,,,control,38,SO-GAT-CON-2,2,10,S,SO-GAT-CON-2-2-10-S,2018-09-24,5,2
101,3,1,1,0,0,13,4,CP,,89,30.0,,burned,29,MV-89-2,2,10,S,MV-89-2-2-2-10-S,2018-06-07,5,3
102,2,4,1,0,0,13,4,SO,GST,5,15.0,,burned,40,SO-GST-05-1,3,10,S,SO-GST-05-1-3-10-S,2018-09-27,7,3
